Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,0,01/03/2018 08:17:11,115307855,5,0,0,0,0,0,0,0,0,0,0,0,0,0.04336218,28800000,32400000,61000000,812396,115000000,28800000,32400000,61000000,812396,0,0,0,0,0,0,0,0,0,0,0,0.04336218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,0,0,1812348,0,1812348,1812348,56700000,6010057.622,61000000,52500000,Benign
0,0,01/03/2018 08:20:07,60997457,2,0,0,0,0,0,0,0,0,0,0,0,0,0.032788252,61000000,0,61000000,61000000,61000000,61000000,0,61000000,61000000,0,0,0,0,0,0,0,0,0,0,0,0.032788252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,61000000,0,61000000,61000000,Benign
67,17,01/03/2018 08:17:18,61149019,5,0,1500,0,300,300,300,0,0,0,0,0,24.53023817,0.081767461,15300000,12800000,32600000,3530939,61100000,15300000,12800000,32600000,3530939,0,0,0,0,0,0,0,0,0,40,0,0.081767461,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,360,300,0,0,0,0,0,0,0,5,1500,0,0,-1,-1,4,8,3530939,0,3530939,3530939,19200000,12500000,32600000,7999725,Benign
0,0,01/03/2018 08:22:09,60997555,2,0,0,0,0,0,0,0,0,0,0,0,0,0.032788199,61000000,0,61000000,61000000,61000000,61000000,0,61000000,61000000,0,0,0,0,0,0,0,0,0,0,0,0.032788199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,61000000,0,61000000,61000000,Benign
0,0,01/03/2018 08:24:11,61997503,3,0,0,0,0,0,0,0,0,0,0,0,0,0.048389046,31000000,42400000,61000000,999909,62000000,31000000,42400000,61000000,999909,0,0,0,0,0,0,0,0,0,0,0,0.048389046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,999909,0,999909,999909,61000000,0,61000000,61000000,Benign
3389,6,01/03/2018 02:00:00,1669202,8,7,1128,1581,661,0,141,222.6233206,1173,0,225.8571429,430.0986044,1622.931197,8.986329995,119228.7143,245531.6006,953143,3,1669202,238457.4286,390569.1835,1119290,3,1560735,260122.5,340238.5742,953143,108539,0,0,0,0,172,152,4.792709331,4.193620664,0,1173,169.3125,317.731274,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141,225.8571429,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0,0,0,0,0,0,0,0,Infilteration
3389,6,01/03/2018 02:00:01,1665774,8,7,1128,1581,661,0,141,222.6233206,1173,0,225.8571429,430.0986044,1626.271031,9.004822983,118983.8571,245645.075,953347,3,1665774,237967.7143,389627.1236,1116666,3,1557359,259559.8333,340546.055,953347,108741,0,0,0,0,172,152,4.802572258,4.202250725,0,1173,169.3125,317.731274,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141,225.8571429,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0,0,0,0,0,0,0,0,Infilteration
35076,6,01/03/2018 02:00:02,447631,1,1,0,0,0,0,0,0,0,0,0,0,0,4.467965802,447631,0,447631,447631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2.233982901,2.233982901,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,230,259,0,32,0,0,0,0,0,0,0,0,Infilteration
8080,6,02/03/2018 10:17:07,16079,3,4,326,129,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,28297.77971,435.3504571,2679.833333,6080.854855,15084,1,645,322.5,374.0594872,587,58,15513,5171,8587.564206,15084,1,0,0,0,0,72,92,186.5787673,248.7716898,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0,0,0,0,0,0,0,0,Bot
8080,6,02/03/2018 10:17:07,577,2,0,0,0,0,0,0,0,0,0,0,0,0,3466.204506,577,0,577,577,577,577,0,577,577,0,0,0,0,0,0,0,0,0,40,0,3466.204506,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0,0,0,0,0,0,0,0,Bot
8080,6,02/03/2018 10:17:09,10279,3,4,326,129,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,44265.00632,681.0000973,1713.166667,3693.591716,9243,20,577,288.5,335.8757211,526,51,9773,3257.666667,5185.563165,9243,117,0,0,0,0,72,92,291.8571846,389.1429127,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0,0,0,0,0,0,0,0,Bot
21,6,14/02/2018 10:33:26,19,1,1,0,0,0,0,0,0,0,0,0,0,0,105263.157894737,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,52631.5789473684,52631.5789473684,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,FTP-BruteForce
